type,raid_group_name,member_name,character_name,character_class,character_is_alt,character_inactive_at,character_note,sort_order,item_name,item_id,is_offspec,note,received_at,import_id,item_note,item_prio_note,item_tier,item_tier_label,created_at,updated_at
received,,Kalopsia,Altaidan,Shaman,0,,,0,"Tunic of the Artifact Guardian",40588,1,,"2022-10-10 00:00:00",19427126833398179781,,,,3,B,"2022-10-14 17:57:41",
received,,Kalopsia,Altaidan,Shaman,0,,,0,"Legplates of the Lost Protector",40635,0,,"2022-10-13 00:00:00",1665687014-3-Altaida,,,,5,D,"2022-10-14 18:04:47",
received,,Kalopsia,Altaidan,Shaman,0,,,0,"Slime Stream Bands",40282,0,,"2022-10-13 00:00:00",1665687118-7-Altaida,,,,4,C,"2022-10-14 18:04:47",
received,,Kalopsia,Altaidan,Shaman,0,,,0,"Gloves of Calculated Risk",40262,0,,"2022-10-13 00:00:00",1665687131-8-Altaida,,,,5,D,"2022-10-14 18:04:47",
received,,Kalopsia,Altaidan,Shaman,0,,,0,"Breastplate of the Lost Protector",40626,0,,"2022-10-13 00:00:00",1665691128-69-Altaid,,,,3,B,"2022-10-14 18:04:47",
received,,"Anna (Mike)",Anna,Paladin,0,,,1,"Mantle of the Lost Conqueror",40637,0,,"2022-10-09 00:00:00",19998165571124676056,,,,5,D,"2022-10-14 18:02:59","2022-10-14 18:08:39"
received,,"Anna (Mike)",Anna,Paladin,0,,,2,"Girdle of Unity",40241,0,,"2022-10-09 00:00:00",10987263671124676056,,,,5,D,"2022-10-14 18:02:59","2022-10-14 18:08:39"
received,,"Anna (Mike)",Anna,Paladin,0,,,3,"Breastplate of the Lost Conqueror",40625,0,,"2022-10-09 00:00:00",17282349121124676056,,,,3,B,"2022-10-14 18:02:59","2022-10-14 18:08:39"
received,,artemius_767,Artemiy,Mage,0,,,0,"Gauntlets of the Lost Vanquisher",40630,0,,"2022-10-10 00:00:00",32910444032737790425,,,,3,B,"2022-10-14 17:57:41",
received,,artemius_767,Artemiy,Mage,0,,,0,"Breastplate of the Lost Vanquisher",40627,0,,"2022-10-09 00:00:00",30179208482426029738,,,,3,B,"2022-10-14 18:02:59",
received,,artemius_767,Artemiy,Mage,0,,,0,"Urn of Lost Memories",40350,0,,"2022-10-09 00:00:00",20596579182426029738,,,,4,C,"2022-10-14 18:02:59",
received,,artemius_767,Artemiy,Mage,0,,,0,"Fading Glow",40245,0,,"2022-10-13 00:00:00",1665688289-29-Artemi,,,,5,D,"2022-10-14 18:04:47",
received,,artemius_767,Artemiy,Mage,0,,,0,"Punctilious Bindings",39731,0,,"2022-10-13 00:00:00",1665688536-35-Artemi,,,,5,D,"2022-10-14 18:04:47",
received,,Dagren,Beschuit,Priest,0,,,0,"Sympathetic Amice",40289,0,,"2022-10-09 00:00:00",35904439417258751150,,,,5,D,"2022-10-14 18:02:59",
received,,Dagren,Beschuit,Priest,0,,,0,"Seized Beauty",40108,0,,"2022-10-09 00:00:00",19986373257258751150,,,,5,D,"2022-10-14 18:02:59",
received,,Dagren,Beschuit,Priest,0,,,0,"Boots of Forlorn Wishes",40326,0,,"2022-10-09 00:00:00",42455850777258751150,,,,5,D,"2022-10-14 18:02:59",
received,,Dagren,Beschuit,Priest,0,,,0,"Spire of Sunset",40300,0,,"2022-10-13 00:00:00",1665686938-1-Beschui,,,,5,D,"2022-10-14 18:04:47",
received,,Dagren,Beschuit,Priest,0,,,0,"Belt of False Dignity",39735,0,,"2022-10-13 00:00:00",1665687155-11-Beschu,,,,5,D,"2022-10-14 18:04:47",
received,,Dagren,Beschuit,Priest,0,,,0,"Shawl of the Old Maid",40253,0,,"2022-10-13 00:00:00",1665689085-54-Beschu,,,,5,D,"2022-10-14 18:04:47",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Fury of the Five Flights",40431,0,,"2022-10-10 00:00:00",16103380319035073310,,,,2,A,"2022-10-14 17:57:41",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Breastplate of Tormented Rage",40203,1,,"2022-10-09 00:00:00",36868066351663906638,,,,5,D,"2022-10-14 18:02:59",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Legplates of the Lost Conqueror",40634,0,,"2022-10-09 00:00:00",22717236581663906638,,,,5,D,"2022-10-14 18:02:59",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Thrusting Bands",40186,0,,"2022-10-09 00:00:00",31543778501663906638,,,,4,C,"2022-10-14 18:02:59",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Aged Winter Cloak",40250,0,,"2022-10-09 00:00:00",44591171516639066380,,,,5,D,"2022-10-14 18:02:59",
received,,DonBurrito,Bulbo,Paladin,0,,,0,"Libram of Resurgence",40337,1,,"2022-10-13 00:00:00",1665686896-0-Bulbo,,,,5,D,"2022-10-14 18:04:47",
received,,DonBurrito,Bulbo,Paladin,0,,,0,Ruthlessness,40075,0,,"2022-10-13 00:00:00",1665688163-26-Bulbo,,,,4,C,"2022-10-14 18:04:47",
received,,Chronia,Chronia,Warlock,0,,,0,"Staff of Restraint",40455,0,,"2022-10-10 00:00:00",22315339641386233300,,,,5,D,"2022-10-14 17:57:41",
received,,Chronia,Chronia,Warlock,0,,,0,"Mantle of the Lost Conqueror",40637,0,,"2022-10-13 00:00:00",1665689029-52-Chroni,,,,5,D,"2022-10-14 18:04:47",
received,,Wookster,Clawmidia,Druid,0,,,0,"Headpiece of Reconciliation",44007,0,,"2022-10-10 00:00:00",29525887463366004984,,,,5,D,"2022-10-14 17:57:41",
received,,Wookster,Clawmidia,Druid,0,,,0,"Belt of Potent Chanting",40200,1,,"2022-10-09 00:00:00",42188445332224063257,,,,5,D,"2022-10-14 18:02:59",
received,,Wookster,Clawmidia,Druid,0,,,0,"Cowl of Innocent Delight",40247,0,,"2022-10-09 00:00:00",36521437312224063257,,,,5,D,"2022-10-14 18:02:59",
received,,Wookster,Clawmidia,Druid,0,,,0,"Shackled Cinch",40341,0,,"2022-10-09 00:00:00",23528378782224063257,,,,5,D,"2022-10-14 18:02:59",
received,,Wookster,Clawmidia,Druid,0,,,0,"Hood of the Exodus",40329,1,,"2022-10-09 00:00:00",11308496702224063257,,,,5,D,"2022-10-14 18:02:59",
received,,Wookster,Clawmidia,Druid,0,,,0,"Desecrated Past",40285,1,,"2022-10-13 00:00:00",1665687039-4-Clawmid,,,,5,D,"2022-10-14 18:04:47",
received,,Wookster,Clawmidia,Druid,0,,,0,"Gloves of the Dancing Bear",40238,1,,"2022-10-13 00:00:00",1665687140-9-Clawmid,,,,5,D,"2022-10-14 18:04:47",
received,,Wookster,Clawmidia,Druid,0,,,0,"Gloves of Fast Reactions",40362,1,,"2022-10-13 00:00:00",1665691181-71-Clawmi,,,,5,D,"2022-10-14 18:04:47",
received,,Wookster,Clawmidia,Druid,0,,,0,"Legguards of the Boneyard",40379,0,,"2022-10-13 00:00:00",1665691191-72-Clawmi,,,,5,D,"2022-10-14 18:04:47",
received,,Keggy18,Drukeg,Druid,0,,"Lets gooo",0,"Lost Jewel",40080,0,,"2022-10-09 00:00:00",13513708292862592071,,,,5,D,"2022-10-14 18:02:59",
received,,Keggy18,Drukeg,Druid,0,,"Lets gooo",0,"Cowl of the Perished",39768,0,,"2022-10-09 00:00:00",11163704732862592071,,,,5,D,"2022-10-14 18:02:59",
received,,Keggy18,Drukeg,Druid,0,,"Lets gooo",0,"Legguards of the Boneyard",40379,0,,"2022-10-09 00:00:00",17155452882862592071,,,,5,D,"2022-10-14 18:02:59",
received,,Keggy18,Drukeg,Druid,0,,"Lets gooo",0,"Accursed Spine",40192,0,,"2022-10-13 00:00:00",1665688319-30-Drukeg,,,,4,C,"2022-10-14 18:04:47",
received,,Keggy18,Drukeg,Druid,0,,"Lets gooo",0,"Swarm Bindings",39722,0,,"2022-10-13 00:00:00",1665688480-34-Drukeg,,,,6,F,"2022-10-14 18:04:47",
